productId,itemId,description,department,deptDescription,categorySubCode,categorySubDescription,category,manufacturer,subSegmentDescription,subSegmentId,segmentDescription,segmentId,subCategoryDescription,subCategoryId,majorDepartmentDescription,majorDepartmentId,container,size,uom,active,privateLabelFlag,consumption,package,flavor,brand,brandType,height,width,depth,shapeId,family,trademark,country,color,alternateHeight,alternateWeight,alternateDepth,containerDescription,distributor,industryType,dateCreatedBQ
"","1820097003","Estrella Jalisco 12 Pack 12 Ounce Can","","","04-05-00","Imports","Beer","Anheuser-Busch InBev","Import","","Craft/Import","","","","","","12.0","12.0","OZ","","","","","","Estrella Jalisco","","","","","","","","","","","","","","","","1517236534000"
"","1820097006","Chelada Bud Light 3 Pack 25 Ounce Can","","","04-01-00","Super Premium","Beer","Anheuser-Busch InBev","Premium Plus","","Premium Plus","","","","","","3.0","25.0","OZ","","","","","","Chelada Bud Light","","","","","","","","","","","","","","","","1517236534000"
"","1820097007","Bud Light Lime Lemon-Ade-Rita 12 Pack 8 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","12.0","8.0","OZ","","","","","","Bud Light Lime Lemon-Ade-Rita","","","","","","","","","","","","","","","","1517236534000"
"","1820097008","Budweiser 12 Pack 16 Ounce Aluminum Bottle","","","04-02-00","Premium","Beer","Anheuser-Busch InBev","Premium Regular","","Premium","","","","","","12.0","16.0","OZ","","","","","","Budweiser","","","","","","","","","","","","","","","","1517236534000"
"","1820097009","Bud Light 12 Pack 16 Ounce Aluminum Bottle","","","04-02-00","Premium","Beer","Anheuser-Busch InBev","Premium Light","","Premium","","","","","","12.0","16.0","OZ","","","","","","Bud Light","","","","","","","","","","","","","","","","1517236534000"
"","1820097013","Best Damn Apple Ale 6 Pack 12 Ounce Bottle","","","04-01-00","Super Premium","Beer","Anheuser-Busch InBev","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Best Damn Apple Ale","","","","","","","","","","","","","","","","1517236534000"
"","1820097016","Bud Light Apple 6 Pack 12 Ounce Bottle","","","04-01-00","Super Premium","Beer","Anheuser-Busch InBev","Premium Plus","","Premium Plus","","","","","","6.0","12.0","OZ","","","","","","Bud Light Apple","","","","","","","","","","","","","","","","1517236534000"
"","1820097017","Bud Light Apple 12 Pack 12 Ounce Bottle","","","04-01-00","Super Premium","Beer","Anheuser-Busch InBev","Premium Plus","","Premium Plus","","","","","","12.0","12.0","OZ","","","","","","Bud Light Apple","","","","","","","","","","","","","","","","1517236534000"
"","1820098292","Bud Light Lime Lemon-Ade-Rita 24 Pack 8 Ounce Can","","","04-09-00","Flavored Malt","Beer","Anheuser-Busch InBev","FMB","","FMB/PAB","","","","","","24.0","8.0","OZ","","","","","","Bud Light Lime Lemon-Ade-Rita","","","","","","","","","","","","","","","","1517236534000"
"","1820098300","Budweiser Gft Pk 18 Pack 12 Ounce Bottle","","","04-02-00","Premium","Beer","Anheuser-Busch InBev","Premium Regular","","Premium","","","","","","18.0","12.0","OZ","","","","","","Budweiser","","","","","","","","","","","","","","","","1521215599000"
